23_em_52	2 p
formulaire014-equation033	x ^ { 2 } - r = 0
MfrDB1736	\lim \limits _ { n \rightarrow \infty } ( \sqrt { n + 2 } - \sqrt { n } ) = 0
95_jorge	b = c \sin B = c \cos A
2009213-139-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire014-equation012	\lim \limits _ { z \rightarrow z _ { 0 } } f ( z ) = f ( z _ { 0 } )
TrainData2_17_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
KME2G3_19_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
200923-131-302	\sum \limits _ { m = X } ^ { 9 . 6 } \tan g
formulaire034-equation039	d ( p ^ { 2 } - q ^ { 2 } ) , 2 p d q , d ( p ^ { 2 } + q ^ { 2 } )
formulaire037-equation029	z _ { 2 } - z _ { 1 } = h
formulaire035-equation010	1 7 0 \pm 3 \div ( 1 5 6 + 1 8 0 )
MfrDB2957	| \int \limits _ { a } ^ { b } f ( x ) d x | \leq \int \limits _ { a } ^ { b } | f ( x ) | d x
200922-949-16	\frac { \frac { p } { n } + v } { - H }
MfrDB3852	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
KME2G3_9_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
formulaire023-equation033	k _ { 1 } = k _ { 2 }
MfrDB3194	\lim \limits _ { n \rightarrow \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
formulaire005-equation048	\sqrt { 1 + \frac { 1 } { \sqrt { 2 } } } + \sqrt { 1 - \frac { 1 } { \sqrt { 2 } } }
200926-1617-120	\sqrt { \int \limits _ { s + \phi } ^ { 3 } z + [ 4 ] d u }
formulaire011-equation015	3 3 \times 1 6 3 \neq 3 1 4 4
2009220-1327-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire038-equation006	6 a + 2 b = 2 x + y
MfrDB2859	\sum \limits _ { n = 1 } ^ { \infty } ( \frac { \sum \limits _ { i = 1 } ^ { n } a _ { i } } { n } ) ^ { p } < ( \frac { p } { p - 1 } ) ^ { p } \sum \limits _ { n = 1 } ^ { \infty } a _ { n } ^ { p }
200923-1553-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
TrainData2_26_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire038-equation014	c _ { i j } = \cos \theta _ { i j }
MfrDB1847	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
2009220-1327-42	\frac { 1 } { 3 } \pi r ^ { 2 } h
82_rosario	q = \sqrt { ( \frac { B - A } { C } ) ^ { 2 } + 1 } + \frac { B - A } { C }
200926-131-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
200923-131-192	o ^ { \theta + r }
82_leissi	q = \sqrt { ( \frac { B - A } { C } ) ^ { 2 } + 1 } + \frac { B - A } { C }
formulaire012-equation057	c ( x , y ) = h ( x - y )
TrainData1_0_sub_9	\sin ^ { 2 } \theta + \cos ^ { 2 } \theta = 1
formulaire028-equation046	z = e ^ { i \alpha }
TrainData2_4_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire012-equation021	a _ { 0 } = x
formulaire030-equation043	a ^ { 2 } + a b + b ^ { 2 }
formulaire015-equation042	a _ { n - 1 } a _ { n } = a _ { 1 }
200924-1312-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
KME2G3_16_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
MfrDB1913	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
200923-1253-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB1965	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
2009213-139-234	\cdots - 5
KME2G3_9_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
TrainData2_11_sub_73	\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
TrainData2_22_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire031-equation071	\frac { 2 } { b } = \frac { 1 } { c } + \frac { 1 } { d }
MfrDB0691	\frac { \sin ( x ) } { \cos ( x ) }
formulaire015-equation009	\frac { a ^ { m + 1 } } { m + 1 }
formulaire023-equation062	\frac { ( a + c ) h } { 2 }
formulaire016-equation017	\phi _ { p } ( x ) = p \phi ( p x )
formulaire022-equation037	t = ( 2 n + 1 ) x
formulaire035-equation063	e ^ { i x } = 1
MfrDB3507	2 ^ { x + 1 } - 2 ^ { x } = 1 6
formulaire017-equation074	n = k + 2 t
formulaire021-equation070	1 6 7 \pm 1 3 7 + 1 5 9
MfrDB3903	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
MfrDB1008	e = m c ^ { 2 }
MfrDB1936	x < \frac { c - b } { a }
TrainData2_19_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB2845	( 1 + x ) ^ { n } = \sum \limits _ { k = 0 } ^ { \infty } n k x ^ { k }
TrainData2_15_sub_43	\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
formulaire004-equation067	c ^ { 2 } t ^ { 2 } - x ^ { 2 } = - 1
MfrDB2864	\lim \limits _ { n \rightarrow \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
formulaire034-equation022	( u v ^ { 2 } b - u v w c ) = 0
MfrDB2907	f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )
108_user0	a ^ { x } a ^ { y } = a ^ { x + y }
200926-131-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
200924-1331-1	\int \limits _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ { 3 } + 1 4 } } d z
MfrDB3431	a _ { n } = a _ { 1 } + ( n - 1 ) d
formulaire001-equation010	1 5 1 \pm 1 4 3 \div 9 7
200923-1254-38	\frac { 4 } { 3 } \pi r ^ { 3 }
formulaire026-equation000	1 6 8 \pm ( 1 7 1 - 6 ) \div ( 2 4 \div 1 7 4 )
formulaire017-equation063	( z - 2 x z + z ^ { 2 } )
MfrDB1496	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
formulaire031-equation066	1 0 0 - X ^ { 2 } = 9 6
MfrDB1809	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
TrainData2_16_sub_73	\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
MfrDB2452	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
MfrDB3390	\lim \limits _ { y \rightarrow \infty } y \sin ( \frac { c } { y } ) = c
MfrDB1503	f ( x , y ) = \frac { x } { y } + x y
TrainData2_10_sub_71	\frac { \sin B + \sin C } { \cos B + \cos C }
109_leissi	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
formulaire013-equation067	u _ { n } = u _ { p } q ^ { n - p }
200923-1254-40	\frac { c - d } { p } u
formulaire032-equation030	4 5 - 1 5 2 + 1 4 9 \neq - 9 8
2009212-1031-75	M ^ { l } \frac { Y + L } { S } S i
200922-1017-26	a + \frac { \sqrt { b + c } } { 2 }
formulaire027-equation064	\frac { a } { p - a }
formulaire026-equation041	1 7 - 4 ^ { 2 } + 4 ^ { 0 }
200925-1126-208	\frac { \sqrt { x } } { \frac { \mu } { \sqrt { r } } }
formulaire026-equation058	a _ { 0 } = a
MfrDB1317	| a - b | \leq | a - c | + | c - b |
MfrDB1290	\lim \limits _ { n \rightarrow \infty } n ^ { \frac { 1 } { n } } = 1
KME2G3_15_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
200926-131-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
2009210-947-6	\sum \limits _ { n = 1 } ^ { N } ( - 1 ) ^ { n } \sin ( n x )
101_fujita	S = ( \sum \limits _ { i = 1 } ^ { n } \theta _ { i } - ( n - 2 ) \pi ) r ^ { 2 }
MfrDB3189	( 1 + x ) ^ { r } \geq 1 + r x
200923-1556-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
200922-1017-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire035-equation033	e = \sqrt { \frac { a ^ { 2 } - b ^ { 2 } } { a ^ { 2 } } }
TrainData2_12_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire032-equation041	r = x - y ^ { n }
MfrDB0070	( a + b ) + c = a + ( b + c )
200923-1553-184	\sqrt { \int y d w } ^ { \sqrt { \sigma } } + \sqrt { C } ^ { k }
107_Fabricio	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB3249	\sin x = \sin ( x + 2 \pi k )
MfrDB2427	\int x ^ { n } d x = \frac { x ^ { n + 1 } } { n + 1 } + C
MfrDB3388	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
TrainData2_7_sub_46	\lim \limits _ { x \rightarrow - 1 } \frac { x ^ { 3 } + 1 } { x + 1 }
200922-949-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
73_carlos	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
73_jorge	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
formulaire011-equation021	k = - 1
KME2G3_29_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
MfrDB1746	1 + \tan ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
formulaire011-equation064	p ^ { a } = \pi = p
KME2G3_30_sub_95	\sqrt { 1 + \sqrt { 2 + \sqrt { 3 + \sqrt { 4 } } } }
200922-947-14	a + \sqrt { \frac { b + c } { d + f } }
200926-1617-32	a x ^ { 4 } + b x + c = 0
KME2G3_22_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
TrainData2_14_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
KME2G3_26_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB1626	\frac { b + \sqrt { 1 2 1 } } { a - 1 0 1 } = f ( a , b )
MfrDB1450	\frac { \sqrt { 9 9 x ^ { 7 } } } { 1 1 x ^ { 3 } }
KME2G3_2_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
TrainData1_4_sub_21	A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b }
KME1G3_5_sub_21	A = \sqrt { a + \frac { 1 } { \sqrt { a + \frac { 1 } { \sqrt { a } } } } } + \sqrt { b }
200922-949-265	\sum \limits _ { N = o } ^ { - E } u + P
formulaire008-equation035	5 8 + 4 \geq 6 1
formulaire029-equation016	1 ^ { 2 } + 7 ^ { 2 } + 6 ^ { 2 } = 8 6
formulaire003-equation046	x ^ { 5 } + x + a
formulaire029-equation010	1 + 1 9 - 1 4 7 + 1 0 0 = - 2 2 7
200922-949-101	- v + \frac { L } { j }
TrainData2_24_sub_63	\frac { 1 } { a } F ( a x + b ) + C
200922-949-145	\frac { N + 9 } { \frac { B } { S } }
MfrDB1843	2 \log ( x - 3 ) = \log ( 5 - x )
MfrDB3148	( 1 + x ) ^ { r } \geq 1 + r x
formulaire020-equation037	\sum \limits _ { i = 1 } ^ { n } p _ { i } = 1
formulaire036-equation019	f ( u ) = f ( u + 0 ) = f ( u ) \times f ( 0 )
MfrDB1741	\sin x = \sin ( x + 2 \pi k )
MfrDB1695	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
MfrDB1481	\int \limits _ { 0 } ^ { 1 } \int \limits _ { 0 } ^ { 1 } x ^ { 2 } y ^ { 2 } d x d y
MfrDB3001	\lim \limits _ { y \rightarrow \infty } y \sin ( \frac { c } { y } ) = c
formulaire027-equation067	e ^ { \alpha t } \sin \beta t
118_jorge	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
MfrDB3537	\int \limits _ { a } ^ { a } f ( x ) d x = 0
TrainData2_1_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200925-1126-105	\frac { I + G } { \frac { h } { z } }
TrainData2_18_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire027-equation026	2 ^ { 3 } + 2 ^ { 2 } + 2 ^ { 0 }
TrainData2_22_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
MfrDB1944	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
formulaire021-equation074	\frac { h } { k } = - \frac { 3 } { 2 }
MfrDB1563	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
109_caue	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
200923-131-55	\frac { 1 } { \sin ( x ) + 1 }
107_caue	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
TrainData2_7_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
TrainData2_15_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200926-131-175	\frac { x + \lambda } { \sqrt { L } }
formulaire013-equation004	( \cos ( a ) , \sin ( a ) )
TrainData2_10_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
109_leo	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
formulaire009-equation049	r = p g c d ( k , n )
MfrDB1678	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
MfrDB2211	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
formulaire023-equation043	c = \sqrt { a ^ { 2 } - b ^ { 2 } }
TrainData2_15_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
formulaire002-equation025	( ( 8 4 / 1 1 3 ) / 5 1 ) - 1 1 9 = - 1 1 8 . 9 9
TrainData2_15_sub_73	\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
2009212-952-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
KME2G3_12_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
formulaire028-equation051	a = \frac { y } { x }
TrainData2_0_sub_73	\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } \alpha _ { n } + \beta - 3 \beta
MfrDB0092	p ( z ) = 3 \cdot ( z - a ) \cdot ( z - b ) \cdot ( z - c )
200923-1556-265	\frac { j - c } { - y }
MfrDB3846	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m _ { n } } )
formulaire019-equation072	( \pm 1 , \pm 1 , 0 , 0 )
200923-1553-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
130_caue	\frac { 1 } { 4 } + ( \frac { 1 } { 4 } ) ^ { 2 } + ( \frac { 1 } { 4 } ) ^ { 3 } + \cdots = \frac { 1 } { 3 }
MfrDB1228	e ^ { i \pi } + 1 = 0
200922-1017-32	a x ^ { 4 } + b x + c = 0
TrainData2_7_sub_73	\alpha _ { n + 1 } - 3 \beta = \frac { 2 } { 3 } a _ { n } + \beta - 3 \beta
formulaire027-equation013	x ^ { 2 } - 2 x + 5
MfrDB2802	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
TrainData2_4_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire005-equation051	\sqrt { 3 } = \frac { 1 1 \alpha - \alpha ^ { 3 } } { 2 }
MfrDB2130	\lim \limits _ { n \rightarrow \infty } ( \sqrt { n + 2 } - \sqrt { n } ) = 0
200923-1251-102	\sum 8 . 3 - \int d _ { v } d x _ { \Delta } + 7
formulaire019-equation070	2 4 - 4 3 \neq 1 8
TrainData2_8_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB2378	\frac { 2 ^ { 5 } } { 3 + 1 }
MfrDB0107	u = ( 2 + i ) x ^ { 2 } + ( 1 - i )
MfrDB3034	\lim \limits _ { n \rightarrow \infty } ( x _ { n } / y _ { n } ) = L _ { 1 } / L _ { 2 }
TrainData2_19_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire031-equation009	x ^ { i } - v ^ { i } t
73_edwin	| \frac { a x _ { 0 } + b y _ { 0 } + c } { \sqrt { a ^ { 2 } + b ^ { 2 } } } |
MfrDB1255	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
formulaire003-equation055	6 7 - 1 3 2 - 1 8 1 - 1 9 4 = - 5 2
TrainData2_2_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB0041	\sin ^ { 2 } x + \cos ^ { 2 } x = 1
MfrDB2135	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
formulaire026-equation070	1 2 9 + 1 3 6 = 2 6 5
formulaire005-equation070	( 6 8 / ( 2 + 1 6 2 ) ) \times 8 \geq 2
formulaire033-equation061	2 ^ { 7 } = 1 2 8
formulaire004-equation030	0 \pm 5 2 \times ( 1 6 9 + 1 9 6 - 5 8 )
formulaire039-equation037	r _ { k } = t _ { k } + \frac { q } { 2 }
TrainData2_6_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
2009213-139-72	\sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
200923-1251-55	\frac { 1 } { \sin ( x ) + 1 }
KME2G3_4_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire028-equation004	g _ { i } ( x , y , z ) = 0
MfrDB3547	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire003-equation028	3 ^ { 3 } + 7 ^ { 3 } + 1 ^ { 3 } = 3 7 1
MfrDB1731	\lim \limits _ { n \rightarrow \infty } n ^ { \frac { 1 } { n } } = 1
formulaire006-equation027	d _ { t c } = d _ { a } + t _ { b r }
MfrDB1730	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
200922-949-127	\sum \limits _ { Y \geq x } [ w ] + 2 . 0
MfrDB3097	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
TrainData2_18_sub_61	\int ( 2 ^ { x } - 3 e ^ { x } ) d x
formulaire013-equation059	1 , i , j , k
formulaire007-equation066	g ( z ) = \frac { a z + b } { c z + d }
formulaire039-equation011	a y + b x = c
formulaire010-equation044	\frac { d x } { d t } = f ( x )
89_daniel	x ^ { \prime } = x \cos \theta + y \sin \theta
TrainData2_14_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200923-131-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
MfrDB1995	\sqrt { \frac { 1 } { n } \sum \limits _ { k = 1 } ^ { n } ( a _ { k } ) ^ { 2 } } \geq \frac { 1 } { n } \sum \limits _ { k = 1 } ^ { n } a _ { k }
formulaire031-equation022	v ( a + i b ) = a ^ { 2 } + b ^ { 2 }
2009213-137-43	\frac { \pi r ^ { 2 } h } { 3 }
MfrDB2995	\lim \limits _ { y \rightarrow \infty } y \sin ( \frac { c } { y } ) = c
MfrDB1463	S _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
MfrDB2936	f ( x , y ) = f _ { 1 } ( x , y ) + f _ { 2 } ( \frac { x } { y } )
formulaire003-equation034	m _ { 1 } , m _ { 2 } , m _ { 3 }
TrainData2_8_sub_1	x _ { 1 } + x _ { 2 } = x _ { 3 }
formulaire030-equation000	1 5 4 + 1 3 \leq 1 6 7
200926-1617-26	a + \frac { \sqrt { b + c } } { 2 }
KME2G3_9_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
TrainData2_11_sub_63	\frac { 1 } { a } F ( a x + b ) + C
130_david	\frac { 1 } { 4 } + ( \frac { 1 } { 4 } ) ^ { 2 } + ( \frac { 1 } { 4 } ) ^ { 3 } + \cdots = \frac { 1 } { 3 }
TrainData2_16_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire006-equation002	n = 2 ^ { m }
MfrDB3165	f ( x , y ) = f _ { 1 } ( x y ) + f _ { 2 } ( \frac { x } { y } )
formulaire007-equation015	1 2 0 - 1 4 - 1 0 7 \leq 2 1 3
MfrDB1534	\sqrt { x } = 1 0 ^ { ( \log x ) / 2 }
formulaire018-equation046	z = r e ^ { i \theta }
KME2G3_6_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
MfrDB3129	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
MfrDB1169	x ^ { 2 } + 2 x + 1 = 0
formulaire012-equation022	s _ { i } s _ { j } = s _ { j } s _ { i }
KME2G3_20_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire019-equation073	1 2 5 = 5 ^ { 1 + 2 }
formulaire003-equation014	x _ { i } X _ { j } - x _ { j } X _ { i }
MfrDB1170	3 x ^ { 2 } + 5 x + 3 = 0
130_rosario	\frac { 1 } { 4 } + ( \frac { 1 } { 4 } ) ^ { 2 } + ( \frac { 1 } { 4 } ) ^ { 3 } + \cdots = \frac { 1 } { 3 }
200923-1556-43	\frac { \pi r ^ { 2 } h } { 3 }
200923-1251-1	\int \limits _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ { 3 } + 1 4 } } d z
MfrDB0020	\frac { \sqrt { 1 - x } } { \sum \limits _ { i = 1 } ^ { 3 } x _ { i } }
101_Fabricio	S = ( \sum \limits _ { i = 1 } ^ { n } \theta _ { i } - ( n - 2 ) \pi ) r ^ { 2 }
200924-1312-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
TrainData1_8_sub_5	e ^ { i \pi } + 1 = 0
TrainData2_3_sub_20	a + b + c + d + e
MfrDB2155	\sin x = \sin ( x - 2 \pi k )
TrainData2_7_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB3451	\sin x = \sin ( x + 2 \pi k )
MfrDB1486	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
TrainData2_11_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
formulaire019-equation017	\frac { p } { q } \leq a
MfrDB3066	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
MfrDB3147	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
MfrDB3522	\int \limits _ { 0 } ^ { 1 } \sqrt { x } d x
formulaire013-equation003	z _ { 2 } = \frac { 1 } { 2 }
formulaire039-equation019	a _ { 1 } a _ { 2 } = a _ { 3 }
TrainData2_8_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
formulaire006-equation048	3 a + 2 \leq 5
formulaire014-equation044	p = \frac { 1 } { 2 } ( a + b + c )
formulaire002-equation028	a _ { 2 } = - 1
formulaire019-equation067	f ( y ^ { ( n ) } , \ldots , y ) = 0
2009210-947-14	a + \sqrt { \frac { b + c } { d + f } }
101_jorge	S = ( \sum \limits _ { i = 1 } ^ { n } \theta _ { i } - ( n - 2 ) \pi ) r ^ { 2 }
MfrDB3441	\int \limits _ { 0 } ^ { \infty } f ( x ) d x = \lim \limits _ { b \rightarrow \infty } \int \limits _ { 0 } ^ { b } f ( x ) d x
formulaire032-equation057	f _ { p } ( x ) = 4 p x ( 1 - x )
formulaire001-equation053	b = a ^ { 2 } + c ^ { 2 }
TrainData1_1_sub_28	( z ^ { \frac { n } { 2 } } + y ^ { \frac { n } { 2 } } ) ( z ^ { \frac { n } { 2 } } - y ^ { \frac { n } { 2 } } ) = x
MfrDB1880	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
KME2G3_22_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
formulaire017-equation017	\alpha _ { i k _ { i } } u ^ { k _ { i } } ( x _ { i } )
TrainData2_18_sub_43	\frac { 2 \tan \alpha } { 1 - \tan ^ { 2 } \alpha }
TrainData2_10_sub_11	\sqrt { x - y - z + x ^ { 2 } + y ^ { 2 } + z ^ { 2 } }
108_david	a ^ { x } a ^ { y } = a ^ { x + y }
formulaire001-equation015	7 8 \pm 5 \times 4 7
TrainData2_13_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire006-equation033	r = \frac { x } { y }
formulaire004-equation020	( 4 7 \times 1 1 1 ) + 8 5 \geq 5 3 0 1
formulaire037-equation050	8 + 1 0 4 - 8 = 1 0 4
MfrDB3413	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
130_user0	\frac { 1 } { 4 } + ( \frac { 1 } { 4 } ) ^ { 2 } + ( \frac { 1 } { 4 } ) ^ { 3 } + \cdots = \frac { 1 } { 3 }
formulaire028-equation007	v _ { 1 } , \ldots , v _ { n }
MfrDB3361	a x + b < c
KME2G3_11_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
MfrDB2814	t g 2 x = \frac { 2 \cdot t g x } { 1 - t g ^ { 2 } x }
formulaire022-equation005	9 \pm 4 8 - ( ( 1 8 1 - 9 4 ) \times 7 7 )
85_rosario	( a \frac { 1 - t ^ { 2 } } { 1 + t ^ { 2 } } , \frac { 2 b t } { 1 + t ^ { 2 } } )
formulaire007-equation000	5 9 + 5 3 \neq - 6 5
KME2G3_0_sub_74	\int \limits _ { \log 3 } ^ { 0 } \frac { 1 } { e ^ { t } + 1 } d t
KME2G3_11_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
200923-1553-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
formulaire032-equation027	f ^ { - 1 } ( x ) = x - h ( x ) u
formulaire038-equation062	f _ { p } ( X ) = \frac { 1 } { 1 - f ( p ) X }
formulaire024-equation061	z _ { 1 } = 1 + \sqrt { 2 }
TrainData2_19_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
109_alfonso	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
200922-947-32	a x ^ { 4 } + b x + c = 0
formulaire009-equation030	1 9 7 + 1 4 3 \geq 3 3 9
formulaire029-equation074	5 , 1 \times 1 0 ^ { 1 8 }
formulaire005-equation042	\lim \limits _ { h \rightarrow 0 } \frac { f ( z + h ) - f ( z ) } { h }
KME2G3_12_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
200925-1126-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire038-equation019	\theta = \frac { 2 k \pi } { q }
formulaire007-equation052	w ^ { 5 } = 1 - w
formulaire025-equation037	\int x ^ { p } ( 1 - x ) ^ { q } d x
106_leo	y ^ { 4 } + y + 1 = 0
